AAAA-MM-DD HH-MM-SS.ssssss	Value
2017-04-19 21:26:34.249591	3679
2017-04-19 21:26:34.249958	3670
2017-04-19 21:26:34.252869	3660
2017-04-19 21:26:34.253168	3668
2017-04-19 21:26:34.253429	3664
2017-04-19 21:26:34.253680	3664
2017-04-19 21:26:34.256946	3659
2017-04-19 21:26:34.257407	3654
2017-04-19 21:26:34.257718	3652
2017-04-19 21:26:34.258130	3648
2017-04-19 21:26:34.260891	3644
2017-04-19 21:26:34.261323	3646
2017-04-19 21:26:34.261703	3642
2017-04-19 21:26:34.262078	3632
2017-04-19 21:26:34.262450	3637
2017-04-19 21:26:34.265084	3635
2017-04-19 21:26:34.265274	3637
2017-04-19 21:26:34.265433	3628
2017-04-19 21:26:34.265589	3625
2017-04-19 21:26:34.269043	3626
2017-04-19 21:26:34.269227	3622
2017-04-19 21:26:34.768970	2372
2017-04-19 21:26:34.769294	2367
2017-04-19 21:26:34.773114	2366
2017-04-19 21:26:34.773411	2365
2017-04-19 21:26:34.773671	2362
2017-04-19 21:26:34.773927	2357
2017-04-19 21:26:34.777126	2360
2017-04-19 21:26:34.777391	2357
2017-04-19 21:26:34.777615	2356
2017-04-19 21:26:34.777839	2354
2017-04-19 21:26:34.781022	2358
2017-04-19 21:26:34.781383	2351
2017-04-19 21:26:34.781619	2354
2017-04-19 21:26:34.782550	2340
2017-04-19 21:26:35.284881	1390
2017-04-19 21:26:35.285052	1387
2017-04-19 21:26:35.285179	1396
2017-04-19 21:26:35.285302	1385
2017-04-19 21:26:35.285423	1384
2017-04-19 21:26:35.289003	1378
2017-04-19 21:26:35.289172	1379
2017-04-19 21:26:35.289316	1369
2017-04-19 21:26:35.289457	1365
2017-04-19 21:26:35.293009	1359
2017-04-19 21:26:35.293173	1362
2017-04-19 21:26:35.792995	0
2017-04-19 21:26:35.793436	0
2017-04-19 21:26:35.797052	0
2017-04-19 21:26:35.797373	0
2017-04-19 21:26:35.797648	0
2017-04-19 21:26:35.797918	0
2017-04-19 21:26:35.801189	0
2017-04-19 21:26:35.801513	0
2017-04-19 21:26:35.801786	0
2017-04-19 21:26:35.802038	0
2017-04-19 21:26:35.802292	0
2017-04-19 21:26:35.805100	0
2017-04-19 21:26:36.304854	0
2017-04-19 21:26:36.305065	0
2017-04-19 21:26:36.308919	0
2017-04-19 21:26:36.309099	0
2017-04-19 21:26:36.309241	0
2017-04-19 21:26:36.309376	0
2017-04-19 21:26:36.309511	0
2017-04-19 21:26:36.313014	0
2017-04-19 21:26:36.313200	0
2017-04-19 21:26:36.313357	0
2017-04-19 21:26:36.313496	0
2017-04-19 21:26:36.317080	0
2017-04-19 21:26:36.317285	0
2017-04-19 21:26:36.317457	0
2017-04-19 21:26:36.317573	0
2017-04-19 21:26:36.821259	1124
2017-04-19 21:26:36.821641	1124
2017-04-19 21:26:36.821899	1125
2017-04-19 21:26:37.325112	1729
2017-04-19 21:26:37.325742	1738
2017-04-19 21:26:37.326283	1728
2017-04-19 21:26:37.326803	1730
2017-04-19 21:26:37.327321	1743
2017-04-19 21:26:37.329461	1737
2017-04-19 21:26:37.330081	1722
2017-04-19 21:26:37.330603	1724
2017-04-19 21:26:37.331124	1734
2017-04-19 21:26:37.333342	1749
2017-04-19 21:26:37.333904	1726
2017-04-19 21:26:37.334264	1719
2017-04-19 21:26:37.334593	1729
2017-04-19 21:26:37.337163	1725
2017-04-19 21:26:37.337472	1718
2017-04-19 21:26:37.337732	1719
2017-04-19 21:26:37.337976	1723
2017-04-19 21:26:37.338355	1714
2017-04-19 21:26:37.341367	1718
2017-04-19 21:26:37.341776	1702
2017-04-19 21:26:37.841084	771
2017-04-19 21:26:37.841491	767
2017-04-19 21:26:37.845264	770
2017-04-19 21:26:37.845644	763
2017-04-19 21:26:37.845985	771
2017-04-19 21:26:37.846313	764
2017-04-19 21:26:37.849530	763
2017-04-19 21:26:37.849912	761
2017-04-19 21:26:37.850262	760
2017-04-19 21:26:37.850479	753
2017-04-19 21:26:37.853622	752
2017-04-19 21:26:37.853981	751
2017-04-19 21:26:38.852813	0
2017-04-19 21:26:38.853059	0
2017-04-19 21:26:38.856880	0
2017-04-19 21:26:38.857092	0
2017-04-19 21:26:38.857280	0
2017-04-19 21:26:38.857506	0
2017-04-19 21:26:38.860991	0
2017-04-19 21:26:38.861203	0
2017-04-19 21:26:38.861388	0
2017-04-19 21:26:38.861730	0
2017-04-19 21:26:38.864973	0
2017-04-19 21:26:38.865249	0
2017-04-19 21:26:38.865492	0
2017-04-19 21:26:38.865695	0
2017-04-19 21:26:38.865883	0
2017-04-19 21:26:38.869170	0
2017-04-19 21:26:38.869371	0
2017-04-19 21:26:38.869528	0
2017-04-19 21:26:38.869689	0
2017-04-19 21:26:38.873229	0
2017-04-19 21:26:38.873443	0
2017-04-19 21:26:38.873560	0
2017-04-19 21:26:38.873670	0
2017-04-19 21:26:38.877114	0
2017-04-19 21:26:38.877231	0
2017-04-19 21:26:39.376956	178
2017-04-19 21:26:39.377148	179
2017-04-19 21:26:39.381127	180
2017-04-19 21:26:39.381297	183
2017-04-19 21:26:39.381421	184
2017-04-19 21:26:39.381539	184
2017-04-19 21:26:39.385171	186
2017-04-19 21:26:39.385307	181
2017-04-19 21:26:39.385424	186
2017-04-19 21:26:39.385537	189
2017-04-19 21:26:39.385650	187
2017-04-19 21:26:39.389339	185
2017-04-19 21:26:39.389507	187
2017-04-19 21:26:39.889144	589
2017-04-19 21:26:39.893234	590
2017-04-19 21:26:39.893545	596
2017-04-19 21:26:39.893805	593
2017-04-19 21:26:39.894058	591
2017-04-19 21:26:39.894309	592
2017-04-19 21:26:39.897428	598
2017-04-19 21:26:39.897734	601
2017-04-19 21:26:39.897997	609
2017-04-19 21:26:39.898253	588
2017-04-19 21:26:39.901524	596
2017-04-19 21:26:39.901934	599
2017-04-19 21:26:40.401374	1089
2017-04-19 21:26:40.402020	1086
2017-04-19 21:26:40.405541	1096
2017-04-19 21:26:40.406013	1070
2017-04-19 21:26:40.406432	1094
2017-04-19 21:26:40.406845	1096
2017-04-19 21:26:40.409628	1096
2017-04-19 21:26:40.410086	1102
2017-04-19 21:26:40.410504	1103
2017-04-19 21:26:40.410912	1101
2017-04-19 21:26:40.413225	1115
2017-04-19 21:26:40.413511	1103
2017-04-19 21:26:40.913539	1931
2017-04-19 21:26:40.914032	1935
2017-04-19 21:26:40.917854	1910
2017-04-19 21:26:40.918626	1943
2017-04-19 21:26:40.919088	1936
2017-04-19 21:26:40.919432	1942
2017-04-19 21:26:40.921439	1937
2017-04-19 21:26:40.921963	1944
2017-04-19 21:26:40.922395	1944
2017-04-19 21:26:40.922822	1933
2017-04-19 21:26:40.923224	1964
2017-04-19 21:26:40.925586	1944
2017-04-19 21:26:40.925943	1953
2017-04-19 21:26:41.425497	3106
2017-04-19 21:26:41.425994	3112
2017-04-19 21:26:41.429694	3104
2017-04-19 21:26:41.430192	3113
2017-04-19 21:26:41.430622	3111
2017-04-19 21:26:41.431037	3106
2017-04-19 21:26:41.433767	3113
2017-04-19 21:26:41.434268	3118
2017-04-19 21:26:41.434705	3123
2017-04-19 21:26:41.435021	3125
2017-04-19 21:26:41.437667	3121
2017-04-19 21:26:41.438279	3129
2017-04-19 21:26:41.937390	3933
2017-04-19 21:26:41.937766	3942
2017-04-19 21:26:41.941450	3933
2017-04-19 21:26:41.941780	3938
2017-04-19 21:26:41.942068	3939
2017-04-19 21:26:42.441133	4095
2017-04-19 21:26:42.445256	4095
2017-04-19 21:26:42.445556	4095
2017-04-19 21:26:42.445818	4095
2017-04-19 21:26:42.446074	4095
2017-04-19 21:26:42.449554	4095
2017-04-19 21:26:42.949344	3024
2017-04-19 21:26:42.949912	3025
2017-04-19 21:26:42.950280	3023
2017-04-19 21:26:42.953425	3023
2017-04-19 21:26:42.953873	3027
2017-04-19 21:26:42.954268	3013
2017-04-19 21:26:42.954654	3016
2017-04-19 21:26:42.957471	3024
2017-04-19 21:26:42.957933	3038
2017-04-19 21:26:42.958335	3022
2017-04-19 21:26:42.958723	3012
2017-04-19 21:26:42.961128	3011
2017-04-19 21:26:42.961413	3022
2017-04-19 21:26:42.961655	2995
2017-04-19 21:26:42.961910	2996
2017-04-19 21:26:42.962174	3001
2017-04-19 21:26:42.965551	2997
2017-04-19 21:26:42.965969	2998
2017-04-19 21:26:42.966503	2994
2017-04-19 21:26:42.966762	2990
2017-04-19 21:26:42.969552	2995
2017-04-19 21:26:42.969740	2994
2017-04-19 21:26:42.969875	2987
2017-04-19 21:26:42.970009	2986
2017-04-19 21:26:42.973346	2978
2017-04-19 21:26:42.973527	2983
2017-04-19 21:26:43.473523	2162
2017-04-19 21:26:43.473975	2166
2017-04-19 21:26:43.477719	2166
2017-04-19 21:26:43.478160	2158
2017-04-19 21:26:43.478547	2171
2017-04-19 21:26:43.478881	2160
2017-04-19 21:26:43.481616	2138
2017-04-19 21:26:43.482051	2164
2017-04-19 21:26:43.482433	2161
2017-04-19 21:26:43.482791	2162
2017-04-19 21:26:43.483000	2164
2017-04-19 21:26:43.485551	2180
2017-04-19 21:26:43.485827	2158
2017-04-19 21:26:43.985607	1750
2017-04-19 21:26:43.986108	1731
2017-04-19 21:26:43.989664	1743
2017-04-19 21:26:43.989998	1735
2017-04-19 21:26:43.990250	1730
2017-04-19 21:26:43.990498	1714
2017-04-19 21:26:43.994171	1737
2017-04-19 21:26:43.994699	1740
2017-04-19 21:26:43.994978	1736
2017-04-19 21:26:43.995227	1738
2017-04-19 21:26:43.997519	1743
2017-04-19 21:26:43.997837	1740
2017-04-19 21:26:44.497222	2849
2017-04-19 21:26:44.497420	2866
2017-04-19 21:26:44.501414	2871
2017-04-19 21:26:44.501585	2836
2017-04-19 21:26:44.501733	2877
2017-04-19 21:26:44.501875	2874
2017-04-19 21:26:44.505436	2872
2017-04-19 21:26:44.505619	2881
2017-04-19 21:26:44.505768	2885
2017-04-19 21:26:44.505913	2883
